Units processed;Grab;R1 start;R1 stop;Pick;R2 start;R2 stop;End
135;0.21.32;0.21.39;0.22.14;0.22.14;0.22.28;0.22.58;0.23.10
136;0.22.31;0.22.40;0.23.15;0.23.16;0.23.30;0.24.00;0.24.14
137;0.23.34;0.23.41;0.24.16;0.24.19;0.24.34;0.25.04;0.25.14
138;0.24.37;0.24.43;0.25.18;0.25.19;0.25.34;0.26.04;0.26.12
139;0.25.40;0.25.50;0.26.25;0.26.25;0.26.40;0.27.10;0.27.19
140;0.26.49;0.26.55;0.27.30;0.27.32;0.27.46;0.28.16;0.28.29
141;0.27.49;0.27.59;0.28.34;0.28.36;0.28.54;0.29.24;0.29.33
142;0.28.57;0.29.07;0.29.42;0.29.44;0.29.58;0.30.28;0.30.38
143;0.30.07;0.30.15;0.30.50;0.30.55;0.31.09;0.31.39;0.31.51
144;0.31.13;0.31.18;0.31.53;0.31.55;0.32.09;0.32.39;0.32.49
145;0.32.18;0.32.23;0.32.58;0.32.59;0.33.13;0.33.43;0.33.51
146;0.33.18;0.33.25;0.34.00;0.34.01;0.34.16;0.34.46;0.34.53
147;0.34.20;0.34.26;0.35.01;0.35.03;0.35.17;0.35.47;0.35.54
148;0.35.20;0.35.25;0.36.00;0.36.01;0.36.14;0.36.44;0.36.57
149;0.36.18;0.36.26;0.37.01;0.37.02;0.37.17;0.37.47;0.37.54
150;0.37.21;0.37.28;0.38.03;0.38.04;0.38.17;0.38.47;0.38.55
151;0.38.21;0.38.26;0.39.01;0.39.03;0.39.15;0.39.45;0.39.57
152;0.39.27;0.39.34;0.40.09;0.40.09;0.40.26;0.40.56;0.41.04
153;0.40.33;0.40.39;0.41.14;0.41.14;0.41.26;0.41.56;0.42.07
154;0.42.09;0.42.14;0.42.49;0.42.49;0.43.02;0.43.32;0.43.43
155;0.43.05;0.43.11;0.43.46;0.43.49;0.43.59;0.44.29;0.44.38
156;0.44.04;0.44.09;0.44.44;0.44.46;0.44.57;0.45.27;0.45.36
157;0.45.01;0.45.06;0.45.41;0.45.43;0.45.54;0.46.24;0.46.34
158;0.45.57;0.46.02;0.46.37;0.46.37;0.46.50;0.47.20;0.47.27
159;0.46.52;0.46.58;0.47.33;0.47.34;0.47.47;0.48.17;0.48.26
160;0.47.50;0.47.56;0.48.31;0.48.32;0.48.36;0.49.06;0.49.39
161;0.48.48;0.48.55;0.49.30;0.49.43;0.49.56;0.50.26;0.50.37
162;0.49.59;0.50.03;0.50.38;0.50.42;0.50.55;0.51.25;0.51.35
163;0.51.00;0.51.07;0.51.42;0.51.44;0.51.55;0.52.25;0.52.36
164;0.00.15;0.00.23;0.00.58;0.00.59;0.01.11;0.01.41;0.01.53
165;0.01.19;0.01.26;0.02.01;0.02.02;0.02.16;0.02.46;0.03.02
166;0.02.30;0.02.37;0.03.12;0.03.12;0.03.28;0.03.58;0.04.10
167;0.03.36;0.03.43;0.04.18;0.04.19;0.04.30;0.05.00;0.05.12
